Occupancy,Flood,Age
1.200,0.000,0.262
1.200,0.000,0.264
1.200,0.000,0.267
1.200,0.000,0.269
1.200,0.000,0.272
1.200,0.000,0.274
1.200,0.000,0.257
1.200,0.000,0.259
1.200,0.000,0.262
1.200,0.000,0.264
1.200,0.000,0.267
1.200,0.000,0.269
1.200,0.000,0.272
1.200,0.000,0.274
1.200,0.000,0.277
1.200,0.000,0.275
1.200,0.000,0.278
1.200,0.000,0.280
1.200,0.000,0.283
1.200,0.000,0.288
1.200,0.000,0.290
1.200,0.000,0.293
1.200,0.000,0.294
1.200,0.000,0.297
1.200,0.000,0.299
1.200,0.000,0.296
1.200,0.000,0.299
1.200,0.000,0.301
1.200,0.000,0.304
1.200,0.000,0.306
1.200,0.000,0.308
1.200,0.000,0.311
1.200,0.000,0.313
1.200,0.000,0.316
1.200,0.000,0.311
1.200,0.000,0.313
1.200,0.000,0.316
1.200,0.000,0.319
1.200,0.000,0.321
1.200,0.000,0.323
1.200,0.000,0.326
1.200,0.000,0.328
1.200,0.000,0.331
1.200,0.000,0.337
1.200,0.000,0.339
1.200,0.000,0.342
1.200,0.000,0.343
1.200,0.000,0.346
1.200,0.000,0.348
1.200,0.000,0.351
1.200,0.000,0.353
1.200,0.000,0.356
1.200,0.000,0.358
1.200,0.000,0.361
1.200,0.000,0.363
1.200,0.000,0.366
1.200,0.000,0.368
1.200,0.000,0.371
1.200,0.000,0.373
1.200,0.000,0.376
1.200,0.000,0.379
1.200,0.000,0.381
1.200,0.000,0.383
1.200,0.000,0.386
1.150,0.000,0.362
1.150,0.000,0.364
1.150,0.000,0.367
1.150,0.000,0.369
1.150,0.000,0.372
1.150,0.000,0.377
1.150,0.000,0.379
1.150,0.000,0.382
1.150,0.000,0.384
1.150,0.000,0.314
1.150,0.000,0.316
1.150,0.000,0.319
1.150,0.000,0.321
1.150,0.000,0.324
1.150,0.000,0.325
1.150,0.000,0.327
1.100,0.000,0.299
1.100,0.000,0.302
1.100,0.000,0.304
1.100,0.000,0.306
1.100,0.000,0.309
1.100,0.000,0.311
1.100,0.000,0.314
1.100,0.000,0.317
1.100,0.000,0.319
1.100,0.000,0.322
1.100,0.000,0.324
1.100,0.000,0.327
1.100,0.000,0.330
1.100,0.000,0.332
1.100,0.000,0.335
1.050,0.000,0.306
1.050,0.000,0.309
1.050,0.000,0.311
1.050,0.000,0.314
1.050,0.000,0.316
1.050,0.000,0.319
1.050,0.000,0.321
1.050,0.000,0.306
1.050,0.000,0.308
1.050,0.000,0.311
1.050,0.000,0.313
1.050,0.000,0.316
1.050,0.000,0.318
1.050,0.000,0.320
1.050,0.000,0.323
1.050,0.000,0.325
1.000,0.000,0.294
1.000,0.000,0.296
1.000,0.000,0.301
1.000,0.000,0.303
1.000,0.000,0.305
1.000,0.000,0.308
1.000,0.000,0.310
1.000,0.000,0.312
1.000,0.000,0.315
1.000,0.000,0.317
1.000,0.000,0.299
1.000,0.000,0.302
1.000,0.000,0.304
1.000,0.000,0.306
1.000,0.000,0.309
1.000,0.000,0.311
1.000,0.000,0.314
1.000,0.000,0.316
1.000,0.000,0.318
1.000,0.000,0.312
1.000,0.000,0.315
1.000,0.000,0.317
1.000,0.000,0.320
1.000,0.000,0.322
1.000,0.000,0.324
1.000,0.000,0.327
1.000,0.000,0.329
1.000,0.000,0.335
1.000,0.000,0.337
1.000,0.000,0.331
1.000,0.000,0.334
0.950,0.000,0.301
0.950,0.000,0.304
0.950,0.000,0.307
0.950,0.000,0.309
0.950,0.000,0.312
0.950,0.000,0.314
0.950,0.000,0.317
0.950,0.000,0.298
0.950,0.000,0.300
0.950,0.000,0.303
0.950,0.000,0.305
0.950,0.000,0.308
0.950,0.000,0.311
0.950,0.000,0.313
0.950,0.000,0.316
0.950,0.000,0.318
0.950,0.000,0.321
0.850,0.000,0.239
0.850,0.000,0.245
0.850,0.000,0.247
0.850,0.000,0.249
0.850,0.000,0.252
0.850,0.000,0.255
0.850,0.000,0.257
0.850,0.000,0.260
0.850,0.000,0.263
0.850,0.000,0.265
0.850,0.000,0.229
0.850,0.000,0.232
0.850,0.000,0.235
0.850,0.000,0.237
0.850,0.000,0.239
0.850,0.000,0.242
0.850,0.000,0.244
0.850,0.000,0.247
0.850,0.000,0.249
0.850,0.000,0.203
0.850,0.000,0.205
0.850,0.000,0.208
0.850,0.000,0.211
0.850,0.000,0.216
0.850,0.000,0.219
0.850,0.000,0.222
0.850,0.000,0.224
0.850,0.000,0.227
0.850,0.000,0.229
0.850,0.000,0.227
0.850,0.000,0.230
0.850,0.000,0.232
0.850,0.000,0.234
0.850,0.000,0.236
0.850,0.000,0.239
0.850,0.000,0.241
0.850,0.000,0.243
0.850,0.000,0.246
0.850,0.000,0.248
0.850,0.000,0.250
0.850,0.000,0.253
0.850,0.000,0.255
0.900,0.056,0.243
0.850,0.000,0.201
0.850,0.000,0.204
0.850,0.000,0.206
0.850,0.000,0.208
0.850,0.000,0.213
0.850,0.000,0.216
0.850,0.000,0.218
0.850,0.000,0.220
0.850,0.000,0.223
0.850,0.000,0.225
0.850,0.000,0.227
0.850,0.000,0.230
0.850,0.000,0.232
0.850,0.000,0.235
0.850,0.000,0.237
0.900,0.056,0.226
0.900,0.000,0.229
0.900,0.000,0.231
0.900,0.000,0.233
0.900,0.000,0.235
0.900,0.000,0.238
0.900,0.000,0.240
0.900,0.000,0.243
0.900,0.000,0.245
0.850,0.000,0.204
0.850,0.000,0.205
0.850,0.000,0.208
0.850,0.000,0.213
0.850,0.000,0.215
0.850,0.000,0.217
0.850,0.000,0.201
0.850,0.000,0.203
0.850,0.000,0.206
0.850,0.000,0.208
0.850,0.000,0.185
0.850,0.000,0.187
0.850,0.000,0.189
0.850,0.000,0.191
0.850,0.000,0.194
0.850,0.000,0.195
0.850,0.000,0.197
0.850,0.000,0.200
0.850,0.000,0.202
0.850,0.000,0.204
0.850,0.000,0.207
0.850,0.000,0.209
0.900,0.056,0.186
0.900,0.000,0.189
0.900,0.000,0.191
0.900,0.000,0.194
0.900,0.000,0.200
0.900,0.000,0.202
0.900,0.000,0.205
0.900,0.000,0.207
0.900,0.000,0.210
0.900,0.000,0.212
0.900,0.000,0.215
0.900,0.000,0.218
0.900,0.000,0.221
0.900,0.000,0.223
0.900,0.000,0.226
0.900,0.000,0.228
0.900,0.000,0.174
0.900,0.000,0.176
0.900,0.000,0.179
0.900,0.000,0.181
0.900,0.000,0.183
0.900,0.000,0.186
0.900,0.000,0.188
0.900,0.000,0.191
0.900,0.000,0.193
0.900,0.000,0.195
0.900,0.000,0.196
0.900,0.000,0.199
0.900,0.000,0.201
0.900,0.000,0.203
0.900,0.000,0.206
0.950,0.053,0.194
0.950,0.000,0.196
0.950,0.000,0.199
0.950,0.000,0.201
0.950,0.000,0.204
0.950,0.000,0.207
0.950,0.000,0.209
0.950,0.000,0.212
0.950,0.000,0.215
0.950,0.000,0.217
0.950,0.000,0.220
0.950,0.000,0.222
0.950,0.000,0.225
0.950,0.000,0.228
0.950,0.000,0.212
0.950,0.000,0.214
1.000,0.050,0.203
1.000,0.000,0.206
