mac_fill,age_score,flood_pressure
2.4,0.0,0.224
2.4,0.0,0.226
2.4,0.0,0.229
2.4,0.0,0.217
2.4,0.0,0.219
2.4,0.0,0.222
2.4,0.0,0.225
2.4,0.0,0.227
2.4,0.0,0.229
2.4,0.0,0.232
2.4,0.0,0.235
2.4,0.0,0.237
2.4,0.0,0.24
2.4,0.0,0.242
2.4,0.0,0.244
2.4,0.0,0.247
2.4,0.0,0.25
2.4,0.0,0.252
2.4,0.0,0.255
2.4,0.0,0.258
2.4,0.0,0.26
2.4,0.0,0.263
2.4,0.0,0.266
2.4,0.0,0.247
2.4,0.0,0.25
2.4,0.0,0.252
2.4,0.0,0.255
2.4,0.0,0.257
2.4,0.0,0.259
2.4,0.0,0.261
2.4,0.0,0.264
2.4,0.0,0.266
2.4,0.0,0.264
2.4,0.0,0.267
2.4,0.0,0.269
2.4,0.0,0.271
2.4,0.0,0.274
2.4,0.0,0.277
2.4,0.0,0.279
2.4,0.0,0.282
2.4,0.0,0.284
2.4,0.0,0.287
2.4,0.0,0.287
2.4,0.0,0.29
2.4,0.0,0.292
2.4,0.0,0.295
2.4,0.0,0.298
2.4,0.0,0.299
2.4,0.0,0.302
2.4,0.0,0.305
2.4,0.0,0.307
2.4,0.0,0.31
2.4,0.0,0.299
2.4,0.0,0.301
2.4,0.0,0.303
2.4,0.0,0.306
2.4,0.0,0.308
2.4,0.0,0.31
2.4,0.0,0.312
2.4,0.0,0.315
2.4,0.0,0.317
2.4,0.0,0.287
2.4,0.0,0.273
2.4,0.0,0.275
2.4,0.0,0.278
2.4,0.0,0.28
2.4,0.0,0.283
2.4,0.0,0.286
2.4,0.0,0.289
2.4,0.0,0.291
2.4,0.0,0.294
2.4,0.0,0.297
2.4,0.0,0.296
2.4,0.0,0.298
2.4,0.0,0.301
2.4,0.0,0.303
2.4,0.0,0.306
2.4,0.0,0.207
2.4,0.0,0.21
2.4,0.0,0.212
2.4,0.0,0.215
2.4,0.0,0.175
2.4,0.0,0.178
2.4,0.0,0.18
2.4,0.0,0.182
2.4,0.0,0.185
2.4,0.0,0.187
2.4,0.0,0.189
2.4,0.0,0.192
2.4,0.0,0.194
