mac_fill,flood_pressure,avg_age
1.1,0.0,0.0061
1.0,0.0,0.0033
0.9,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.015
1.0,0.0,0.0167
0.9,0.0,0.0148
0.9,0.0,0.0111
0.9,0.0,0.0148
0.8,0.0,0.0146
0.8,0.0,0.0167
0.8,0.0,0.0229
0.8,0.0,0.025
0.8,0.0,0.0025
0.8,0.0,0.0333
0.8,0.0,0.0375
0.8,0.0,0.0458
0.9,0.0,0.0444
0.9,0.0,0.0054
0.9,0.0,0.0041
0.9,0.0,0.05
0.9,0.0,0.0593
0.9,0.0,0.0685
0.9,0.0,0.0944
0.8,0.0,0.075
1.2,0.333,0.0333
1.1,0.0,0.0197
1.0,0.0,0.0067
1.0,0.0,0.01
1.0,0.0,0.0167
0.9,0.0,0.0148
1.0,0.1,0.0
0.9,0.0,0.0056
0.9,0.0,0.0111
0.9,0.0,0.0167
0.9,0.0,0.0022
1.1,0.0,0.0015
1.0,0.0,0.0015
0.9,0.0,0.0011
0.9,0.0,0.0167
0.8,0.0,0.0167
0.8,0.0,0.0
0.8,0.0,0.0042
0.8,0.0,0.0083
0.8,0.0,0.0125
0.7,0.0,0.0095
0.7,0.0,0.0012
0.6,0.0,0.0
0.5,0.0,0.0007
0.5,0.0,0.0007
0.6,0.0,0.0083
0.5,0.0,0.0067
0.5,0.0,0.0067
0.5,0.0,0.0067
0.5,0.0,0.0033
0.7,0.0,0.0071
0.7,0.0,0.0095
0.7,0.0,0.0095
0.6,0.0,0.0056
0.6,0.0,0.0056
0.6,0.0,0.0056
0.6,0.0,0.0006
0.5,0.0,0.0
0.5,0.0,0.0
0.5,0.0,0.0
0.8,0.375,0.0
0.8,0.0,0.0002
0.8,0.0,0.0004
0.8,0.0,0.0063
0.8,0.0,0.0104
0.8,0.0,0.0
0.8,0.0,0.0083
0.8,0.0,0.0083
0.8,0.0,0.0125
0.8,0.0,0.0167
0.9,0.222,0.0074
0.9,0.0,0.0111
0.9,0.0,0.0074
0.9,0.0,0.0259
0.9,0.0,0.0148
0.9,0.0,0.0148
0.9,0.0,0.0167
0.9,0.0,0.002
0.9,0.0,0.002
1.2,0.333,0.0007
1.2,0.0,0.001
1.2,0.0,0.001
1.1,0.0,0.0021
1.0,0.0,0.0023
1.2,0.167,0.001
1.2,0.0,0.0019
1.1,0.0,0.0018
1.1,0.0,0.0024
1.1,0.0,0.0018
1.3,0.231,0.0009
1.3,0.0,0.0014
1.3,0.0,0.0014
1.2,0.0,0.0017
1.2,0.0,0.0181
1.3,0.077,0.0141
1.2,0.0,0.0125
1.2,0.0,0.0167
1.1,0.0,0.0167
1.1,0.0,0.0242
1.2,0.083,0.0042
1.2,0.0,0.0097
1.2,0.0,0.0125
1.2,0.0,0.0019
1.2,0.0,0.0208
1.2,0.0,0.0028
1.1,0.0,0.0014
1.1,0.0,0.0182
1.0,0.0,0.015
0.9,0.0,0.0093
1.0,0.1,0.01
1.0,0.0,0.0133
0.9,0.0,0.0093
0.9,0.0,0.0011
0.9,0.0,0.013
1.0,0.0,0.0067
0.9,0.0,0.0093
1.0,0.1,0.01
1.0,0.0,0.0133
1.1,0.091,0.0121
1.0,0.0,0.0083
1.0,0.0,0.0117
1.0,0.0,0.0117
0.9,0.0,0.0111
1.0,0.0,0.001
1.0,0.0,0.0015
1.0,0.0,0.0017
0.9,0.0,0.0013
0.9,0.0,0.013
1.0,0.0,0.0015
1.0,0.0,0.0017
1.0,0.0,0.0025
0.9,0.0,0.0017
0.9,0.0,0.0167
0.9,0.0,0.0111
0.9,0.0,0.0111
0.9,0.0,0.0015
0.9,0.0,0.0148
1.0,0.1,0.015
0.9,0.0,0.0093
0.9,0.0,0.013
0.9,0.0,0.013
0.9,0.0,0.0167
0.8,0.0,0.0083
0.6,0.0,0.0
0.7,0.0,0.0
0.7,0.0,0.0
0.7,0.0,0.0
1.1,0.364,0.0
1.1,0.0,0.0002
1.1,0.0,0.003
1.1,0.0,0.0045
1.1,0.0,0.0006
1.1,0.0,0.0
1.1,0.0,0.0002
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0017
0.9,0.0,0.0004
1.0,0.0,0.0002
0.9,0.0,0.0002
1.0,0.0,0.0002
0.9,0.0,0.0002
1.0,0.0,0.0003
0.9,0.0,0.0004
0.9,0.0,0.0002
1.0,0.1,0.0017
0.9,0.0,0.0
1.0,0.1,0.0017
1.0,0.0,0.0017
0.9,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0017
1.0,0.0,0.0017
1.0,0.0,0.0017
1.0,0.0,0.0017
1.2,0.167,0.0056
1.2,0.0,0.0006
1.2,0.0,0.0011
1.2,0.0,0.0011
1.1,0.0,0.0012
1.1,0.0,0.0003
1.1,0.0,0.0061
1.1,0.0,0.0061
1.1,0.0,0.0091
1.1,0.0,0.0012
1.2,0.167,0.0007
1.1,0.0,0.0005
1.1,0.0,0.0021
1.1,0.0,0.0027
1.0,0.0,0.0025
1.1,0.091,0.0021
1.0,0.0,0.002
1.0,0.0,0.0025
1.0,0.0,0.0028
0.9,0.0,0.003
1.0,0.1,0.003
0.9,0.0,0.0028
0.9,0.0,0.0185
0.9,0.0,0.0259
0.8,0.0,0.0042
0.8,0.0,0.0042
0.8,0.0,0.0083
0.8,0.0,0.0104
1.0,0.2,0.01
1.0,0.1,0.0083
1.1,0.091,0.0121
1.1,0.0,0.0197
1.0,0.0,0.0183
0.9,0.0,0.0148
0.8,0.0,0.0021
0.8,0.0,0.0063
0.8,0.0,0.0006
0.7,0.0,0.0002
0.6,0.0,0.0
0.9,0.0,0.0
1.0,0.1,0.002
1.0,0.0,0.0018
1.0,0.0,0.002
0.9,0.0,0.0017
1.1,0.182,0.0018
1.0,0.0,0.0018
1.0,0.1,0.002
0.9,0.0,0.0017
0.9,0.111,0.0019
1.1,0.0,0.0017
1.1,0.091,0.0008
1.1,0.0,0.0008
1.0,0.0,0.0003
1.1,0.091,0.0002
1.1,0.0,0.0006
1.1,0.0,0.0006
1.0,0.0,0.0005
1.0,0.0,0.0003
0.9,0.0,0.0006
1.0,0.1,0.0003
1.0,0.0,0.0005
1.0,0.0,0.0003
1.0,0.0,0.0003
0.9,0.0,0.0002
0.8,0.0,0.0
0.8,0.0,0.0017
0.8,0.0,0.0019
0.7,0.0,0.0012
0.7,0.0,0.0017
0.7,0.0,0.0017
0.7,0.0,0.0017
0.7,0.0,0.0017
0.7,0.0,0.0017
0.8,0.125,0.0017
0.8,0.0,0.0017
0.8,0.125,0.0
0.9,0.111,0.0002
1.3,0.308,0.0004
1.3,0.0,0.0008
1.3,0.0,0.0014
1.2,0.0,0.0013
1.1,0.0,0.0015
1.1,0.0,0.0
1.1,0.0,0.0006
1.2,0.0,0.0018
1.2,0.0,0.0181
1.1,0.0,0.0167
1.0,0.0,0.0133
0.9,0.0,0.0074
0.8,0.0,0.0042
0.7,0.0,0.0
0.7,0.0,0.0024
0.6,0.0,0.0
